,created_at,user,user_followers_count,text,lang,Location,retweet_count,favorite_count
0,2016-07-08 09:20:50,GamberoniGluca,161,#Alation Centralizes Enterprise Data Knowledge by Employing Machine Learning and Crowdsourcing #bigdata #HPE https://t.co/0KQ0FIchGl,en,,2,1
1,2016-07-08 09:19:52,FuFanboy,254,RT @vallettea: Machine Learning pour l'Immobilier https://t.co/1YwdQz6BvB raconté par @LilliJane et Du Phan https://t.co/k6iIrWpNvx https:/…,fr,,5,0
2,2016-07-08 09:19:46,ddocentral,14837,RT @rajkosaraju: #Humans can create one or two models a week;machine learningcan create thousands of models a week.” https://t.co/8571LzZvw…,en,,9,0
3,2016-07-08 09:19:20,drxos,534,"RT @tachyeonz: 60+ Free Books on Big Data, Data Science, Data Mining, Machine Learning, Python, R, and more https://t.co/80DFwQoAKR",en,,3,0
4,2016-07-08 09:18:31,MarineDaeffler,192,@google @DeepMindAI pairs with NHS to use machine learning to fight blindness &lt;3 https://t.co/U13AmrrwVZ,en,,0,0
5,2016-07-08 09:18:19,fredericlaziou,339,RT @cloud_comp_news: Our most popular story this week: 10 ways machine learning is revolutionising manufacturing https://t.co/gLjko9av0L ht…,en,,3,0
6,2016-07-08 09:17:34,javi_afterdark,144,RT @Paquette413: Using machine learning &amp; security experts to tackle cybersecurity  https://t.co/o0sq0QsZHN @bendee983 via @TechCrunch,en,,2,0
7,2016-07-08 09:17:13,DrAndyPardoe,4434,RT @mxlearn: Machine learning algorithm cheat sheet https://t.co/UwyxNCk0zX,en,,3,0
8,2016-07-08 09:17:11,DrAndyPardoe,4434,RT @DataconomyMedia: Forget Siri: Machine Learning and AI is Coming For Your Smartphone - Dataconomy https://t.co/S7G7ViGt58 #AI #ML https:…,en,,2,0
9,2016-07-08 09:16:39,SandraSkyling,673,RT @HRCurator: RT @gleonhard How Google is Remaking Itself as a “Machine Learning First” Company https://t.co/q8sF8S0K5E #FutureofWork #Sma…,en,,1,0
10,2016-07-08 09:16:35,emrobSci,83,"RT @tachyeonz: 60+ Free Books on Big Data, Data Science, Data Mining, Machine Learning, Python, R, and more https://t.co/80DFwQoAKR",en,,3,0
11,2016-07-08 09:16:03,kstate_bigdata,724,RT @KirkDBorne: In-depth #MachineLearning in 15 hours of expert videos: https://t.co/8HuM3sB5Yf #BigData #DataScience by @Rbloggers https:/…,en,,71,0
