created_at,user,text,text_preprocessed,text_tokens,text_stem,text_lemmatize,pos_tags,text_named_entities
2016-07-07 12:40:45,BigDataTweetBot,RT @IoTJobs_eu: Google acquires Paris based machine learning startup Moodstocks https://t.co/u2K6SSbgYO #IoT #news #career #jobs #bigdata,RT  IoTJobs_eu  Google acquires Paris based machine learning startup Moodstocks https   t co u2K6SSbgYO  IoT  news  career  jobs  bigdata,"rt,iotjobs_eu,google,acquires,paris,based,machine,learning,startup,moodstocks,https,co,u2k6ssbgyo,iot,news,career,jobs,bigdata", RT IoTJobs_eu Googl acquir Pari base machin learn startup Moodstock http t co u2K6SSbgYO IoT news career job bigdata, RT IoTJobs_eu Google acquires Paris based machine learning startup Moodstocks http t co u2K6SSbgYO IoT news career job bigdata,"[('RT', 'NN'), ('IoTJobs_eu', 'NNP'), ('Google', 'NNP'), ('acquires', 'VBZ'), ('Paris', 'NNP'), ('based', 'VBN'), ('machine', 'NN'), ('learning', 'NN'), ('startup', 'NN'), ('Moodstocks', 'NNS'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('u2K6SSbgYO', 'NNP'), ('IoT', 'NNP'), ('news', 'NN'), ('career', 'NN'), ('jobs', 'NNS'), ('bigdata', 'NNS')]","['RT', 'IoTJobs_eu Google', 'Paris', 'u2K6SSbgYO', 'IoT']"
2016-07-07 12:40:32,BigDataTweetBot,RT @bobehayes: One-Third of #BigData Developers Use #MachineLearning https://t.co/jsfNxtFvmg #datascience,RT  bobehayes  One Third of  BigData Developers Use  MachineLearning https   t co jsfNxtFvmg  datascience,"rt,bobehayes,one,third,bigdata,developers,use,machinelearning,https,co,jsfnxtfvmg,datascience", RT bobehay One Third of BigData Develop Use MachineLearn http t co jsfNxtFvmg datasci, RT bobehayes One Third of BigData Developers Use MachineLearning http t co jsfNxtFvmg datascience,"[('RT', 'NN'), ('bobehayes', 'NNS'), ('One', 'CD'), ('Third', 'JJ'), ('of', 'IN'), ('BigData', 'NNP'), ('Developers', 'NNP'), ('Use', 'NNP'), ('MachineLearning', 'NNP'), ('https', 'VBZ'), ('t', 'NN'), ('co', 'NN'), ('jsfNxtFvmg', 'NNP'), ('datascience', 'NN')]","['RT', 'BigData Developers Use', 'jsfNxtFvmg']"
2016-07-07 12:40:20,brainchatbot,RT @Le_Coeur: Comprendre le chatbot pour briller en société https://t.co/WMTevZtFFj,RT  Le_Coeur  Comprendre le chatbot pour briller en soci  t   https   t co WMTevZtFFj,"rt,le_coeur,comprendre,le,chatbot,pour,briller,en,soci,https,co,wmtevztffj", RT Le_Coeur Comprendr le chatbot pour briller en soci t http t co WMTevZtFFj, RT Le_Coeur Comprendre le chatbot pour briller en soci t http t co WMTevZtFFj,"[('RT', 'NN'), ('Le_Coeur', 'NNP'), ('Comprendre', 'NNP'), ('le', 'NN'), ('chatbot', 'VBD'), ('pour', 'PRP$'), ('briller', 'NN'), ('en', 'NN'), ('soci', 'NN'), ('t', 'NN'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('WMTevZtFFj', 'NNP')]","['RT Le_Coeur Comprendre', 'WMTevZtFFj']"
2016-07-07 12:40:12,ExtendMore,"DeepMind, has started training neural networks to recognize the signs of eye disease in medical images.
https://t.co/uX1BV87m3q 
#AI #EYE","DeepMind  has started training neural networks to recognize the signs of eye disease in medical images 
https   t co uX1BV87m3q 
 AI  EYE","deepmind,started,training,neural,networks,recognize,signs,eye,disease,medical,images,https,co,ux1bv87m3q,ai,eye", DeepMind ha start train neural network to recogn the sign of eye diseas in medic imag http t co uX1BV87m3q AI EYE, DeepMind ha started training neural network to recognize the sign of eye disease in medical image http t co uX1BV87m3q AI EYE,"[('DeepMind', 'NNP'), ('has', 'VBZ'), ('started', 'VBN'), ('training', 'NN'), ('neural', 'JJ'), ('networks', 'NNS'), ('to', 'TO'), ('recognize', 'VB'), ('the', 'DT'), ('signs', 'NNS'), ('of', 'IN'), ('eye', 'NN'), ('disease', 'NN'), ('in', 'IN'), ('medical', 'JJ'), ('images', 'NNS'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('uX1BV87m3q', 'NNP'), ('AI', 'NNP'), ('EYE', 'NNP')]","['DeepMind', 'uX1BV87m3q AI']"
2016-07-07 12:40:12,Sociabaaz,"DeepMind, has started training neural networks to recognize the signs of eye disease in medical images.
https://t.co/pzaFWsDAj7 
#AI #EYE","DeepMind  has started training neural networks to recognize the signs of eye disease in medical images 
https   t co pzaFWsDAj7 
 AI  EYE","deepmind,started,training,neural,networks,recognize,signs,eye,disease,medical,images,https,co,pzafwsdaj7,ai,eye", DeepMind ha start train neural network to recogn the sign of eye diseas in medic imag http t co pzaFWsDAj7 AI EYE, DeepMind ha started training neural network to recognize the sign of eye disease in medical image http t co pzaFWsDAj7 AI EYE,"[('DeepMind', 'NNP'), ('has', 'VBZ'), ('started', 'VBN'), ('training', 'NN'), ('neural', 'JJ'), ('networks', 'NNS'), ('to', 'TO'), ('recognize', 'VB'), ('the', 'DT'), ('signs', 'NNS'), ('of', 'IN'), ('eye', 'NN'), ('disease', 'NN'), ('in', 'IN'), ('medical', 'JJ'), ('images', 'NNS'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('pzaFWsDAj7', 'NNP'), ('AI', 'NNP'), ('EYE', 'NNP')]","['DeepMind', 'pzaFWsDAj7 AI']"
2016-07-07 12:40:09,NJSwede71,"Here are five ways that companies are using machine learning to transform health care. #ai #machinelearning #ml
https://t.co/QucSAjNVEH","Here are five ways that companies are using machine learning to transform health care   ai  machinelearning  ml
https   t co QucSAjNVEH","five,ways,companies,using,machine,learning,transform,health,care,ai,machinelearning,ml,https,co,qucsajnveh", Here are five way that compani are use machin learn to transform health care ai machinelearn ml http t co QucSAjNVEH, Here are five way that company are using machine learning to transform health care ai machinelearning ml http t co QucSAjNVEH,"[('Here', 'RB'), ('are', 'VBP'), ('five', 'CD'), ('ways', 'NNS'), ('that', 'WDT'), ('companies', 'NNS'), ('are', 'VBP'), ('using', 'VBG'), ('machine', 'NN'), ('learning', 'VBG'), ('to', 'TO'), ('transform', 'NN'), ('health', 'NN'), ('care', 'NN'), ('ai', 'NN'), ('machinelearning', 'VBG'), ('ml', 'NN'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('QucSAjNVEH', 'NNP')]",['QucSAjNVEH']
2016-07-07 12:40:03,DamianoMe,RT @sharafu_kk: Machine Learning Day https://t.co/YIuEAsVnOa,RT  sharafu_kk  Machine Learning Day https   t co YIuEAsVnOa,"rt,sharafu_kk,machine,learning,day,https,co,yiueasvnoa", RT sharafu_kk Machin Learn Day http t co YIuEAsVnOa, RT sharafu_kk Machine Learning Day http t co YIuEAsVnOa,"[('RT', 'NN'), ('sharafu_kk', 'NNP'), ('Machine', 'NNP'), ('Learning', 'NNP'), ('Day', 'NNP'), ('https', 'VBZ'), ('t', 'NN'), ('co', 'NN'), ('YIuEAsVnOa', 'NNP')]","['RT', 'YIuEAsVnOa']"
2016-07-07 12:39:58,sharafu_kk,Machine Learning Day https://t.co/YIuEAsVnOa,Machine Learning Day https   t co YIuEAsVnOa,"machine,learning,day,https,co,yiueasvnoa", Machin Learn Day http t co YIuEAsVnOa, Machine Learning Day http t co YIuEAsVnOa,"[('Machine', 'NN'), ('Learning', 'NNP'), ('Day', 'NNP'), ('https', 'VBZ'), ('t', 'NN'), ('co', 'NN'), ('YIuEAsVnOa', 'NNP')]","['Machine Learning', 'YIuEAsVnOa']"
2016-07-07 12:39:09,mayfairmedical,RT @Ri_Science: Google are working with the NHS to train a neural network to check eye scans for early signs of blindness: https://t.co/XPy…,RT  Ri_Science  Google are working with the NHS to train a neural network to check eye scans for early signs of blindness  https   t co XPy   ,"rt,ri_science,google,working,nhs,train,neural,network,check,eye,scans,early,signs,blindness,https,co,xpy", RT Ri_Scienc Googl are work with the NH to train a neural network to check eye scan for earli sign of blind http t co XPi, RT Ri_Science Google are working with the NHS to train a neural network to check eye scan for early sign of blindness http t co XPy,"[('RT', 'NN'), ('Ri_Science', 'NN'), ('Google', 'NNP'), ('are', 'VBP'), ('working', 'VBG'), ('with', 'IN'), ('the', 'DT'), ('NHS', 'NNP'), ('to', 'TO'), ('train', 'VB'), ('a', 'DT'), ('neural', 'JJ'), ('network', 'NN'), ('to', 'TO'), ('check', 'VB'), ('eye', 'NN'), ('scans', 'NNS'), ('for', 'IN'), ('early', 'JJ'), ('signs', 'NNS'), ('of', 'IN'), ('blindness', 'NN'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('XPy', 'NNP')]","['RT Ri_Science Google', 'NHS']"
2016-07-07 12:39:03,Planitikos,RT @newscientist: Google’s new NHS deal is start of machine learning marketplace https://t.co/ZmNVAzBkRB https://t.co/W0BzGkYhQ9,RT  newscientist  Google   s new NHS deal is start of machine learning marketplace https   t co ZmNVAzBkRB https   t co W0BzGkYhQ9,"rt,newscientist,google,new,nhs,deal,start,machine,learning,marketplace,https,co,zmnvazbkrb,https,co,w0bzgkyhq9", RT newscientist Googl s new NH deal is start of machin learn marketplac http t co ZmNVAzBkRB http t co W0BzGkYhQ9, RT newscientist Google s new NHS deal is start of machine learning marketplace http t co ZmNVAzBkRB http t co W0BzGkYhQ9,"[('RT', 'NN'), ('newscientist', 'VBD'), ('Google', 'NNP'), ('s', 'NNS'), ('new', 'JJ'), ('NHS', 'NNP'), ('deal', 'NN'), ('is', 'VBZ'), ('start', 'NN'), ('of', 'IN'), ('machine', 'NN'), ('learning', 'VBG'), ('marketplace', 'NN'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('ZmNVAzBkRB', 'NNP'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('W0BzGkYhQ9', 'NNP')]","['RT', 'Google', 'ZmNVAzBkRB', 'W0BzGkYhQ9']"
2016-07-07 12:39:00,AZoRobotics,Researchers Incorporate Machine Learning Methods in ASL MRI to Detect Early Dementia https://t.co/FaGgoeopjr https://t.co/wZNWuOk9rz,Researchers Incorporate Machine Learning Methods in ASL MRI to Detect Early Dementia https   t co FaGgoeopjr https   t co wZNWuOk9rz,"researchers,incorporate,machine,learning,methods,asl,mri,detect,early,dementia,https,co,faggoeopjr,https,co,wznwuok9rz", Research Incorpor Machin Learn Method in ASL MRI to Detect Earli Dementia http t co FaGgoeopjr http t co wZNWuOk9rz, Researchers Incorporate Machine Learning Methods in ASL MRI to Detect Early Dementia http t co FaGgoeopjr http t co wZNWuOk9rz,"[('Researchers', 'NNS'), ('Incorporate', 'VBP'), ('Machine', 'NNP'), ('Learning', 'NNP'), ('Methods', 'NNP'), ('in', 'IN'), ('ASL', 'NNP'), ('MRI', 'NNP'), ('to', 'TO'), ('Detect', 'NNP'), ('Early', 'NNP'), ('Dementia', 'NNP'), ('https', 'VBZ'), ('t', 'NN'), ('co', 'NN'), ('FaGgoeopjr', 'NNP'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('wZNWuOk9rz', 'NNP')]","['Machine Learning Methods', 'ASL', 'Detect Early Dementia', 'FaGgoeopjr', 'wZNWuOk9rz']"
2016-07-07 12:38:55,Change4Agile,"RT @wolflotter: Wenn man das bei uns übliche mechanistische Weltbild hat, dann klingt auch machine learning plausibel. Denken als ""Prozess"".",RT  wolflotter  Wenn man das bei uns   bliche mechanistische Weltbild hat  dann klingt auch machine learning plausibel  Denken als  Prozess  ,"rt,wolflotter,wenn,man,das,bei,uns,bliche,mechanistische,weltbild,hat,dann,klingt,auch,machine,learning,plausibel,denken,als,prozess", RT wolflott Wenn man da bei un blich mechanistisch Weltbild hat dann klingt auch machin learn plausibel Denken al Prozess, RT wolflotter Wenn man da bei un bliche mechanistische Weltbild hat dann klingt auch machine learning plausibel Denken al Prozess,"[('RT', 'NN'), ('wolflotter', 'NN'), ('Wenn', 'NNP'), ('man', 'NN'), ('das', 'VBZ'), ('bei', 'NN'), ('uns', 'NNS'), ('bliche', 'VBP'), ('mechanistische', 'PRP'), ('Weltbild', 'NNP'), ('hat', 'WDT'), ('dann', 'NN'), ('klingt', 'NN'), ('auch', 'NN'), ('machine', 'NN'), ('learning', 'VBG'), ('plausibel', 'NN'), ('Denken', 'NNP'), ('als', 'NNS'), ('Prozess', 'NNP')]","['RT', 'Denken']"
2016-07-07 12:38:41,jasonhiner,Video: Understand #MachineLearning ... in less than 2 minutes https://t.co/ylZCFqeAke https://t.co/mI8Ku2hcTu,Video  Understand  MachineLearning     in less than 2 minutes https   t co ylZCFqeAke https   t co mI8Ku2hcTu,"video,understand,machinelearning,less,2,minutes,https,co,ylzcfqeake,https,co,mi8ku2hctu", Video Understand MachineLearn in less than 2 minut http t co ylZCFqeAk http t co mI8Ku2hcTu, Video Understand MachineLearning in le than 2 minute http t co ylZCFqeAke http t co mI8Ku2hcTu,"[('Video', 'NNP'), ('Understand', 'NNP'), ('MachineLearning', 'NNP'), ('in', 'IN'), ('less', 'JJR'), ('than', 'IN'), ('2', 'CD'), ('minutes', 'NNS'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('ylZCFqeAke', 'NNP'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('mI8Ku2hcTu', 'NNP')]","['Video Understand', 'ylZCFqeAke', 'mI8Ku2hcTu']"
2016-07-07 12:38:31,Starlow15,RT @newscientist: Google’s new NHS deal is start of machine learning marketplace https://t.co/ZmNVAzBkRB https://t.co/W0BzGkYhQ9,RT  newscientist  Google   s new NHS deal is start of machine learning marketplace https   t co ZmNVAzBkRB https   t co W0BzGkYhQ9,"rt,newscientist,google,new,nhs,deal,start,machine,learning,marketplace,https,co,zmnvazbkrb,https,co,w0bzgkyhq9", RT newscientist Googl s new NH deal is start of machin learn marketplac http t co ZmNVAzBkRB http t co W0BzGkYhQ9, RT newscientist Google s new NHS deal is start of machine learning marketplace http t co ZmNVAzBkRB http t co W0BzGkYhQ9,"[('RT', 'NN'), ('newscientist', 'VBD'), ('Google', 'NNP'), ('s', 'NNS'), ('new', 'JJ'), ('NHS', 'NNP'), ('deal', 'NN'), ('is', 'VBZ'), ('start', 'NN'), ('of', 'IN'), ('machine', 'NN'), ('learning', 'VBG'), ('marketplace', 'NN'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('ZmNVAzBkRB', 'NNP'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('W0BzGkYhQ9', 'NNP')]","['RT', 'Google', 'ZmNVAzBkRB', 'W0BzGkYhQ9']"
2016-07-07 12:38:16,cnaux,"""Key trends in machine learning and AI"" https://t.co/zDJP8WJB6W", Key trends in machine learning and AI  https   t co zDJP8WJB6W,"key,trends,machine,learning,ai,https,co,zdjp8wjb6w", Key trend in machin learn and AI http t co zDJP8WJB6W, Key trend in machine learning and AI http t co zDJP8WJB6W,"[('Key', 'NNP'), ('trends', 'NNS'), ('in', 'IN'), ('machine', 'NN'), ('learning', 'NN'), ('and', 'CC'), ('AI', 'NNP'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('zDJP8WJB6W', 'NNP')]","['Key', 'zDJP8WJB6W']"
2016-07-07 12:37:39,peter_rud,"RT @InfoQ: John Langford introduces Vowpal Wabbit, A Machine Learning System https://t.co/UxgNguQbPY https://t.co/jS11VhnCpz",RT  InfoQ  John Langford introduces Vowpal Wabbit  A Machine Learning System https   t co UxgNguQbPY https   t co jS11VhnCpz,"rt,infoq,john,langford,introduces,vowpal,wabbit,machine,learning,system,https,co,uxgnguqbpy,https,co,js11vhncpz", RT InfoQ John Langford introduc Vowpal Wabbit A Machin Learn System http t co UxgNguQbPi http t co jS11VhnCpz, RT InfoQ John Langford introduces Vowpal Wabbit A Machine Learning System http t co UxgNguQbPY http t co jS11VhnCpz,"[('RT', 'NN'), ('InfoQ', 'NNP'), ('John', 'NNP'), ('Langford', 'NNP'), ('introduces', 'VBZ'), ('Vowpal', 'NNP'), ('Wabbit', 'NNP'), ('A', 'NNP'), ('Machine', 'NNP'), ('Learning', 'NNP'), ('System', 'NNP'), ('https', 'VBZ'), ('t', 'NN'), ('co', 'NN'), ('UxgNguQbPY', 'NNP'), ('https', 'NNS'), ('t', 'VBP'), ('co', 'NN'), ('jS11VhnCpz', 'NNP')]","['RT', 'InfoQ John Langford', 'Vowpal Wabbit', 'UxgNguQbPY', 'jS11VhnCpz']"
